fips_code,state,state_name,county,cases_7_day_count_change,deaths_7_day_count_change,new_test_results_reported_7_day_rolling_average,percent_positive_7_day,admissions_covid_confirmed_last_7_days_per_100k_population,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,date,report_date_window_start,report_date_window_end,hsa_num
17031,IL,Illinois,Cook County,0,0,12723.71,2.68,4.2,1.5,2.6,2021-07-25,2021-07-19,2021-07-25,287
17031,IL,Illinois,Cook County,0,0,12754.43,10.12,10.1,3.5,3.3,2022-06-17,2022-06-11,2022-06-17,287
17031,IL,Illinois,Cook County,0,0,12778.71,4.39,0.0,0.0,0.0,2020-07-12,2020-07-06,2020-07-12,287
17031,IL,Illinois,Cook County,0,0,12832.43,4.19,0.0,0.0,0.0,2020-07-03,2020-06-27,2020-07-03,287
17031,IL,Illinois,Cook County,0,0,12890.14,4.43,0.0,0.0,0.0,2020-07-13,2020-07-07,2020-07-13,287
17031,IL,Illinois,Cook County,0,0,12959.43,2.79,4.3,1.5,2.7,2021-07-26,2021-07-20,2021-07-26,287
17031,IL,Illinois,Cook County,0,0,12988.0,11.71,12.5,4.5,4.1,2022-07-22,2022-07-16,2022-07-22,287
17031,IL,Illinois,Cook County,0,0,13023.43,11.15,12.4,4.6,4.4,2022-08-01,2022-07-26,2022-08-01,287
17031,IL,Illinois,Cook County,0,0,13068.14,11.7,12.7,4.5,4.0,2022-07-23,2022-07-17,2022-07-23,287
17031,IL,Illinois,Cook County,0,0,13156.57,11.08,12.7,4.6,4.4,2022-07-31,2022-07-25,2022-07-31,287
17031,IL,Illinois,Cook County,0,0,13161.71,5.46,5.3,3.0,8.3,2020-08-06,2020-07-31,2020-08-06,287
17031,IL,Illinois,Cook County,0,0,13196.14,2.97,4.5,1.6,2.9,2021-07-27,2021-07-21,2021-07-27,287
17031,IL,Illinois,Cook County,0,0,13205.14,9.16,11.9,4.7,5.0,2022-08-21,2022-08-15,2022-08-21,287
17031,IL,Illinois,Cook County,0,0,13239.86,10.15,13.0,4.9,5.5,2022-08-14,2022-08-08,2022-08-14,287
17031,IL,Illinois,Cook County,0,0,13247.14,11.79,12.8,4.5,3.9,2022-07-24,2022-07-18,2022-07-24,287
17031,IL,Illinois,Cook County,0,0,13258.0,9.28,12.1,4.8,5.2,2022-08-19,2022-08-13,2022-08-19,287
17031,IL,Illinois,Cook County,0,0,13275.14,4.33,0.0,0.0,0.0,2020-07-14,2020-07-08,2020-07-14,287
17031,IL,Illinois,Cook County,0,0,13306.29,10.24,13.2,4.9,5.5,2022-08-13,2022-08-07,2022-08-13,287
17031,IL,Illinois,Cook County,0,0,13307.71,4.16,0.0,0.0,0.0,2020-07-02,2020-06-26,2020-07-02,287
17031,IL,Illinois,Cook County,0,0,13314.57,10.93,12.6,4.6,4.5,2022-08-02,2022-07-27,2022-08-02,287
